mfcc1_mean,mfcc2_mean,mfcc3_mean,mfcc4_mean,mfcc5_mean,mfcc6_mean,mfcc7_mean,mfcc8_mean,mfcc9_mean,mfcc10_mean,mfcc11_mean,mfcc12_mean,mfcc13_mean,delta1_mean,delta2_mean,delta3_mean,delta4_mean,delta5_mean,delta6_mean,delta7_mean,delta8_mean,delta9_mean,delta10_mean,delta11_mean,delta12_mean,delta13_mean,delta21_mean,delta22_mean,delta23_mean,delta24_mean,delta25_mean,delta26_mean,delta27_mean,delta28_mean,delta29_mean,delta210_mean,delta211_mean,delta212_mean,delta213_mean,mfcc1_std,mfcc2_std,mfcc3_std,mfcc4_std,mfcc5_std,mfcc6_std,mfcc7_std,mfcc8_std,mfcc9_std,mfcc10_std,mfcc11_std,mfcc12_std,mfcc13_std,delta1_std,delta2_std,delta3_std,delta4_std,delta5_std,delta6_std,delta7_std,delta8_std,delta9_std,delta10_std,delta11_std,delta12_std,delta13_std,delta21_std,delta22_std,delta23_std,delta24_std,delta25_std,delta26_std,delta27_std,delta28_std,delta29_std,delta210_std,delta211_std,delta212_std,delta213_std,speaker_id,class,voiced_duration,syllable_rate,f0_mean,f0_std,f0_range,f0_delta_mean_abs,f0_delta_std,jitter_local,shimmer_local,f1_mean,f2_mean,f1f2_ratio
-134.65439,46.49705,-41.526676,-17.485052,3.088219,-28.428116,-4.557871,-26.294832,1.4123607,-12.4981985,-0.47971496,-7.203335,-0.13585192,-0.33897078,-0.18646395,-0.01247557,0.043502506,-0.086468205,-0.0063668685,-0.027017428,-0.060048234,-0.036463846,-0.05903618,-0.15643464,0.01451959,-0.018563822,-0.47478846,0.08334157,0.04092916,0.006729496,0.004133389,0.06981569,0.01652832,-0.008546667,0.046407256,-0.028587688,0.0011627281,-0.015031699,0.037333846,75.37982,36.748062,25.081202,21.684502,15.932502,15.462469,10.086356,10.925469,10.126462,10.966342,8.076765,7.4660196,8.026095,13.8280525,7.999778,5.004207,4.789146,2.908239,2.814066,1.808237,2.18266,2.0074496,2.1755497,1.401897,1.2878124,1.5055306,7.54528,4.874809,3.4256191,2.8597975,1.9480348,1.929515,1.2223475,1.4515946,1.2792469,1.395055,0.96986985,0.8701341,1.0950141,native01,native,6.56,4.725609756097561,155.39637878177868,69.39211959052037,418.31844968342364,8.270604594123515,37.50851015317473,0.019831750325126976,0.09270124066980287,855.2339528550931,1654.7645021115381,0.5168312178341898
-150.05392,43.938866,-35.165733,-8.398078,-2.407695,-28.724792,-2.9196773,-17.78281,1.2853634,-13.6030245,-1.651447,-8.645801,0.14552489,-0.012854644,0.023044266,-0.009587531,-0.050197963,-0.06471907,-0.011099591,0.067436315,0.01981221,0.0046909447,-0.01681933,0.007879288,0.038526762,0.1174845,-0.1850843,0.01282532,-0.0057934155,-0.057038978,0.046619937,0.027855827,0.035989113,-0.02311763,0.009929006,-0.03692845,-0.03053628,-0.002653542,-0.007952366,77.367714,35.680893,26.877504,24.39081,21.005579,16.405306,12.141107,11.391999,7.6651564,12.4456415,8.050339,7.5777082,9.080755,10.475311,6.8725815,4.8947415,4.8611255,3.9358444,3.0762508,2.4088159,2.0879073,1.2473679,2.4303174,1.3746552,1.4311306,2.0610378,6.6042786,4.1154127,3.337405,2.6496341,1.7743958,1.8632641,1.4714003,1.4020426,0.95459795,1.3743362,0.8182265,0.79374224,1.2284143,native01,native,4.928,5.478896103896104,138.33450924772413,41.657338433901714,218.09675893150197,4.122814206465935,19.574158346281727,0.015366166247306664,0.07852572901134403,866.8596791697113,1820.593796088244,0.47614118043918385
-144.85968,63.011154,-37.70428,-16.616835,-4.6667504,-21.330574,0.47661516,-23.912725,2.9664285,-12.453857,3.2239723,-8.748292,-0.8227602,-0.070259094,0.107326224,-0.045315124,-0.18874191,0.071049266,0.060687397,0.01734985,0.10166964,0.04332795,0.010813881,-0.03754705,-0.03100223,-0.018934365,-0.15582481,0.031173928,0.04643023,0.02857101,-0.037491813,-0.008474263,0.039430466,-0.027126182,-0.039485075,0.00952233,0.014635817,0.0015252557,-0.012405542,84.00349,33.70292,22.246887,22.893538,21.378447,15.993158,10.006931,9.263919,9.801513,11.860012,8.947558,6.997423,9.021837,15.393412,6.3374863,4.727484,4.320199,3.7830372,2.9581125,1.8493093,1.6209882,1.8914942,1.9761081,1.7537327,1.1611109,1.6174784,8.848211,3.7422156,3.176069,2.6519759,2.3814878,1.7639459,1.3364979,1.2299085,1.1587698,1.3440711,1.1788143,0.8226757,1.0283313,native01,native,5.6,4.642857142857143,132.88092823916162,38.853110562685934,295.04129619773187,4.958833178819278,25.251107214071148,0.020963686527271316,0.07880846446322383,837.914200679369,1655.8846202475565,0.5060220926226731
-155.58473,54.381943,-37.09316,-22.024832,-1.5320101,-23.185434,-3.122315,-21.225452,2.4198012,-10.989509,4.6810975,-8.511625,-0.2606701,0.106182046,0.19056319,-0.014893925,-0.06431289,-0.0901579,0.047694974,0.047324773,-0.0735218,-0.03605327,0.010105986,0.02022681,0.014769861,0.00939628,-0.08242866,-0.018742556,0.0688776,-0.019487003,-0.03618342,-0.008399659,0.066407286,0.009505002,-0.055431657,-0.0034983878,0.021823736,0.017550085,0.03601561,78.54912,40.483532,25.434935,19.362555,20.034935,12.318266,10.992444,10.901092,11.393152,11.069813,8.898126,7.146136,8.933231,13.633688,7.3766756,4.8824143,3.9190416,3.1869917,2.4965775,2.0258813,1.9433856,1.9959316,2.1371448,1.7020648,1.2592872,1.6931472,8.635213,4.364085,3.6561375,2.2607791,2.0980556,1.3900782,1.2789071,1.282781,1.4391073,1.1832641,0.9778541,0.7996686,1.0764453,native01,native,7.239125,5.111114948284496,134.5117169279661,31.5088912674508,119.85661888341176,3.66916381023873,11.027930240393696,0.01614538104876973,0.08073410357558783,866.4523689470229,1643.7961305934546,0.5271045191195397
-152.87708,58.174736,-41.147964,-20.76582,-4.0908313,-26.226833,-5.5532017,-21.267115,4.7022953,-10.1618595,2.8489723,-9.968594,0.43839687,0.07721755,0.022429423,-0.048758164,0.033957545,-0.009156507,0.06577559,-0.0034456814,0.005138489,0.08390055,0.04194983,-0.016299522,-0.027843308,-0.02754566,-0.033568826,0.076236784,-0.022208167,-0.018418737,-0.015742714,-0.0025830737,0.016278367,0.007833259,0.0037938785,0.025586104,-0.0038733147,0.013205603,-0.03552581,85.78445,30.842821,22.177984,22.962778,15.54117,12.89862,11.468905,8.64851,8.822197,10.4966135,8.749985,6.9816823,8.866327,12.476117,5.7582994,4.187337,4.2624297,3.2435968,2.3538668,2.2842267,1.6162021,1.6347831,1.934365,1.4455754,1.2134807,1.6865658,7.1758704,3.580288,2.946808,2.2935503,1.7455032,1.7499847,1.346058,1.0948198,1.1410115,1.228175,0.94456214,0.8302511,1.0012801,native01,native,9.76,4.508196721311475,142.13770991253276,41.139853252361235,357.2247391091788,5.166630976289584,26.973201667389976,0.01660021755821736,0.07685537270148356,870.5630728422275,1706.9668611154495,0.5100058429214858
-144.56526,28.254463,-33.05361,-21.323164,3.9847822,-26.4421,-13.206598,-20.656675,-3.8351922,-13.119594,2.987016,-9.682671,1.8390181,-0.48459905,-0.1739042,-0.114386834,0.20873724,-0.0629947,-0.06897755,0.02017432,0.088984415,0.07192711,-0.03369619,-0.18288055,0.027004318,0.028048713,-0.32210428,0.0026805585,0.034821108,-0.040617652,-0.02910726,-0.010211482,-0.040375452,-0.01714607,0.024520062,-0.017376104,-0.019614844,0.017768769,0.01618858,57.446438,38.409065,23.285257,27.387297,15.67012,15.759522,14.284741,12.568015,11.028585,11.662432,9.151157,8.958045,8.138406,9.697876,7.451031,4.80747,5.723535,2.6665728,3.1043658,2.7790713,2.4404132,1.8174893,2.1081865,1.700288,1.7730423,1.4271975,7.4070163,5.1166368,3.3125331,3.2260973,1.7353253,1.7587206,1.9443995,1.6017622,1.2291474,1.4802706,1.1271961,1.0978161,1.1643134,native02,native,6.6466875,6.168486182026761,181.1591054078259,26.982346681822946,209.70970548035402,2.8012935188295516,9.999185241685314,0.00942222935672655,0.06744577803592156,747.7191957572797,1677.221869024974,0.4458081602477282
-149.51125,36.00113,-34.3882,-21.10344,-2.211876,-29.10264,-16.630816,-17.38796,2.0240564,-12.177963,1.2490815,-8.663456,2.8944826,-0.13292387,0.106461965,0.0763301,-0.1461843,0.13472582,-0.16536807,-0.0057024457,-0.0045603993,-0.10210908,0.09651364,-0.03802895,-0.03184163,0.032070182,-0.20425895,0.017394194,0.043417573,-0.03805235,0.07940661,-0.00034565045,0.0016515166,0.00021208667,-0.041616958,0.078821816,-0.04461631,0.013770246,0.0018138209,66.13702,35.105007,23.832438,24.742277,15.690622,13.5012045,13.496951,8.914793,10.767731,12.2509985,8.12643,7.546734,9.804349,8.437733,6.757564,5.115366,4.6805196,2.8004978,2.7351964,2.739973,1.5870987,1.7141129,2.4929125,1.4453889,1.4669255,1.8848315,5.7223735,3.9331217,3.42032,2.524077,1.5930287,1.5690663,1.4933976,0.99683064,1.1048409,1.5806743,1.0358618,0.9883215,1.2189455,native02,native,4.26625,5.625549370055669,184.42752682488165,55.30665164642531,447.1320498355686,7.505647556803022,41.81462382393132,0.01347637298709432,0.075956612972081,749.6987563697464,1677.4236748619746,0.44693464603176936
-137.24738,46.37988,-43.53806,-25.643635,-2.2797108,-25.39267,-13.326761,-20.260891,-3.854593,-12.589955,4.2152486,-12.925141,-5.1380677,0.9014101,-0.3294071,0.058114853,0.006058367,-0.028584387,-0.16147555,0.11672031,-0.04044795,-0.081720546,-0.08407997,0.12692161,0.061589155,-0.108991474,0.14449607,0.020435499,0.008101716,0.047882423,-0.019051708,-0.01178271,-0.0063867723,-0.018570263,-0.029108638,0.004647627,-0.040613737,0.033327695,0.04595736,61.802055,36.481937,23.232546,23.352385,13.73125,12.905312,12.558248,11.460059,9.42905,11.294609,8.946864,7.31243,10.108538,11.382455,6.799737,5.0579457,4.378477,2.4271748,2.3229618,2.5391862,2.038096,1.7033579,2.178552,1.7219279,1.4319317,1.931366,7.4025435,4.181559,3.53279,2.315569,1.4894512,1.4930047,1.8337771,1.160404,1.2108185,1.3578889,1.1591321,0.88616836,1.2328194,native02,native,4.946875,5.05369551484523,171.55802026601518,23.59809895115763,117.97718336163607,3.002543866292949,9.60186442334602,0.015937506611048514,0.07904032453855578,787.6277086270001,1653.3365518574772,0.47638679961567565
-151.60144,42.414177,-33.65904,-34.387554,-1.7083758,-21.22706,-15.944064,-18.967484,-4.553465,-8.227295,1.123848,-10.56774,1.67825,-0.012187685,-0.3192109,-0.002886863,-0.0739087,0.13867941,0.17084327,-0.112508975,0.019188307,0.1655227,0.053049866,-0.05028407,0.028993828,0.065864526,0.4579525,-0.19181551,-0.12624423,-0.014313431,-0.019510658,0.019697303,-0.0926805,0.083243355,0.028350575,-0.0030157822,0.0018424647,-0.011280105,-0.026403125,69.12704,40.674866,22.845366,21.497091,13.444692,13.302895,13.383067,10.555793,12.128837,11.231068,8.185588,10.781163,7.4483676,12.113571,7.603955,4.58241,3.7725258,2.624159,2.3963645,2.5815175,1.8853222,2.2273557,2.0188723,1.593256,2.018084,1.453964,8.105354,4.3094068,3.4296808,2.4082012,1.468209,1.5899005,1.4489799,1.209515,1.0866889,1.4186702,1.1523528,1.0389175,0.95869124,native02,native,5.361875,5.0355519291292685,193.52658798534776,64.94589667367971,456.31777766894504,8.760613888526352,43.26534718820475,0.01402084607342974,0.07104606165519495,807.0172653661089,1585.8309242491957,0.5088923749851754
-137.15059,38.27049,-37.561523,-28.784824,-4.987561,-25.937742,-14.865755,-17.213573,-0.9938092,-10.099311,-2.163841,-11.229058,0.14867638,-0.4545222,0.25416818,0.08671364,-0.017511945,-0.08500168,0.12854223,0.06592697,-0.070485115,-0.0033568577,-0.01859876,-0.05578528,-0.06571769,0.0788744,-0.15546352,-0.034086462,-0.0009696842,0.013022895,-0.024986047,0.03400792,-0.04642303,0.061462235,0.019593736,-0.004110176,-0.011627007,-0.0043988563,0.04220625,66.254486,36.65626,23.989346,22.613384,13.795403,14.723985,13.209878,10.573892,10.2892475,12.5624275,8.046305,7.989289,9.090634,10.587452,7.869056,4.260179,4.1344776,2.3775365,2.8095577,2.8509543,2.0697894,1.7876639,2.2590322,1.4336227,1.4651765,1.7064301,8.276285,4.810733,2.8725052,2.178696,1.531032,1.7370936,1.7324378,1.3180943,1.3307091,1.4277527,1.0771365,0.83862346,1.2885911,native02,native,7.2,5.138888888888888,213.5061714812098,94.28803861267396,410.12182080984803,9.805269844365204,44.81171727952548,0.017841097176481236,0.08496085824736388,806.7999904606535,1674.5326525485366,0.4818060664465116
