speaker_id,true,pred,nativeness_score,gender,location
learner01,learner,learner,0.4531999307022683,M,indoor
learner02,learner,learner,0.11256383475256584,M,indoor
learner03,learner,learner,0.16481613405071827,M,indoor
learner04,learner,learner,0.08902596120684836,M,indoor
learner05,learner,native,0.857960333664628,F,indoor
learner06,learner,learner,0.012666094970169196,M,indoor
native01,native,native,0.41303267118652576,M,cafe
native02,native,native,0.9090575832244738,M,cafe
native03,native,native,0.985915805135657,F,cafe
native04,native,native,0.8836868220847156,F,cafe
native05,native,native,0.6391231444955885,F,cafe
native06,native,learner,0.235852517167784,M,indoor
